name,categories,subcategories,regions,online_redeem,voucher_min,voucher_max,top_products,url
קפה נואר,מסעדות וקולינריה,מסעדות ומזון מהיר,"ת""א והסביבה|מרכז|מימוש אונליין",yes,1,1500,,https://buyme.co.il/supplier/1291027
זה סושי בזל - תל-אביב,מסעדות וקולינריה,מסעדות ומזון מהיר,"ת""א והסביבה|מרכז",no,1,1001,,https://buyme.co.il/supplier/782899
פארוק בשוק,מסעדות וקולינריה,מסעדות ומזון מהיר,"ת""א והסביבה|מרכז",no,1,1001,,https://buyme.co.il/supplier/924281
הטרקלין,מסעדות וקולינריה,מסעדות ומזון מהיר,"ת""א והסביבה|מרכז",no,1,1001,מארז יין מהודר (210); ארוחה זוגית מהסרטים (700),https://buyme.co.il/supplier/767384
מסעדת פוקצ'ה במושבה,מסעדות וקולינריה,מסעדות ומזון מהיר|מסעדות כשרות,ירושלים והסביבה,no,1,1500,ארוחת טעימות זוגית (350),https://buyme.co.il/supplier/1351568
מרכז תרבות נא לגעת,מסעדות וקולינריה|חוויות|סדנאות והעשרה|לגוף ולנפש|תרבות ופנאי,חוויות קולינריות|חוויות קולינריות|סדנאות והעשרה|העשרה|סדנאות וקורסים|סדנאות והעשרה,"ת""א והסביבה|מרכז",no,1,1001,סדנת טעימות שוקולד בחושך לשניים (230); ארוחה זוגית בשעה 18:30 במסעדת בלקאאוט (360); ארוחה זוגית בשעה 21:00 במסעדת בלקאאוט (410),https://buyme.co.il/supplier/400331
Jah Spa הרצליה,ספא וימי כיף|לגוף ולנפש,ספא וימי כיף,מרכז,no,1,1500,עיסוי פיוז'ן ליחיד (565); עיסוי פיוז'ן וארוחת בוקר ליחיד (715); עיסוי פיוז'ן לזוג (1130),https://buyme.co.il/supplier/17573301
סאפ יוגה תל אביב,חוויות|לגוף ולנפש,חוויות אקסטרים|אימוני כושר,"מרכז|ת""א והסביבה",no,1,1500,"כניסת יחיד לתרגול קבוצתי (130); תרגול פרטי זוגי ""לך ולחבר/ה"" (485); חמישה תרגולי יוגה (500)",https://buyme.co.il/supplier/762833
SLEEZY PIZZA,מסעדות וקולינריה,מסעדות ומזון מהיר,"ת""א והסביבה|מרכז|מימוש אונליין",yes,1,1001,,https://buyme.co.il/supplier/1240474
ציפורלה,תרבות ופנאי,,"ת""א והסביבה",no,1,1001,ציפורלה לילדים (270); כרטיס זוגי (280); כרטיס יחיד (140),https://buyme.co.il/supplier/348933
Casa Do Brasil - אילת,מסעדות וקולינריה,מסעדות ומזון מהיר,דרום|אילת והערבה,no,1,500,,https://buyme.co.il/supplier/64638
KYOTO,מסעדות וקולינריה,מסעדות שף,השרון והסביבה|מרכז|מימוש אונליין,yes,1,1000,,https://buyme.co.il/supplier/6661
שרינה שוקולד,מסעדות וקולינריה|חוויות|סדנאות והעשרה|לגוף ולנפש,"קונדיטוריות, קינוחים ומתוקים|חוויות קולינריות|חוויות קולינריות|סדנאות והעשרה|סדנאות והעשרה",השרון והסביבה,no,1,1500,סדנת שוקולד יחיד למבוגרים (240); סדנת שוקולד זוגית למבוגרים (420); סדנת שוקולד לשלושה אנשים בקבוצה (600),https://buyme.co.il/supplier/1017132
Lavic,טיפוח ויופי,,"ת""א והסביבה|מרכז",no,1,1500,מניקור+פדיקור מלא! (430); פדיקור ספא יוקרתי (450); פנק אותי (650),https://buyme.co.il/supplier/747507
ספא הבריאות שבפינוק,ספא וימי כיף|לגוף ולנפש,ספא וימי כיף,"ת""א והסביבה|מרכז",no,1,1001,עיסוי מפנק ליחיד (300); פינוק מושלם (510); עיסוי בארבע ידיים (470),https://buyme.co.il/supplier/419510
west and spa אשדוד,ספא וימי כיף|לגוף ולנפש,ספא וימי כיף,"דרום|אשקלון, אשדוד והסביבה",no,1,1500,חדש-עיסוי שוודי ליחיד (385); חדש-עיסוי שוודי ליחיד וארוחת בוקר (485); עיסוי שוודי לזוג (770),https://buyme.co.il/supplier/17573390
אריק לבנת,חוויות|סדנאות והעשרה|לגוף ולנפש,סדנאות והעשרה|סדנאות והעשרה,"ת""א והסביבה|מרכז",no,1,1001,"ארבעה כרטיסים + דיסק למופע ""לב אוהב"" (240); חמישה כרטיסים + דיסק למופע ""לב אוהב"" (290); שלושה כרטיסים + דיסק למופע ""לב אוהב"" (200)",https://buyme.co.il/supplier/763474
מרקש,מסעדות וקולינריה,מסעדות ומזון מהיר|מסעדות כשרות,השרון והסביבה,no,1,1001,,https://buyme.co.il/supplier/1705054
Body and Soul,ספא וימי כיף|לגוף ולנפש,ספא וימי כיף,דרום|אילת והערבה,no,1,1001,חבילת פינוק LOVE ROOM (750); עיסוי שוודי קלאסי ליחיד 45 דקות (280); עיסוי שוודי קלאסי לזוג - 45 דק' (540),https://buyme.co.il/supplier/386494
פונדק עין כרם,מסעדות וקולינריה,מסעדות ומזון מהיר,ירושלים והסביבה,no,1,1001,,https://buyme.co.il/supplier/415057
Sea Time,חוויות,חוויות אקסטרים,"ת""א והסביבה|מרכז|השרון והסביבה",no,1,1001,כניסה לעולם השיט (1200); קורס להשטת יאכטות 7 מטר (2300); הפלגה על יאכטת קטמרן מפוארת במרינה תל אביב - עד 14 אנשים (2000),https://buyme.co.il/supplier/2463477
לי-ים,חוויות|לגוף ולנפש,חוויות אקסטרים|ציוד ספורט ואקסטרים,"ת""א והסביבה|מרכז|השרון והסביבה",no,1,1500,שעת שייט רומנטי במיוחד (600); שייט רומנטי במיוחד- שעתיים (990); סקיפר ליום אחד - הפלגה זוגית (990),https://buyme.co.il/supplier/2467395
סטודיו הראל,חוויות|סדנאות והעשרה|לגוף ולנפש,סדנאות והעשרה|סדנאות וקורסים|סדנאות והעשרה,ירושלים והסביבה,no,1,1500,קורס צילום לצלם המתחיל (2350); חבילת סדנאות מתקדמת (990); חבילת סדנאות משולבת (900),https://buyme.co.il/supplier/403627
צפון אברקסס,מסעדות וקולינריה,מסעדות שף,"ת""א והסביבה|מרכז",no,1,1001,,https://buyme.co.il/supplier/2437948
קופינאס,מסעדות וקולינריה,מסעדות ומזון מהיר,השרון והסביבה,no,1,1001,,https://buyme.co.il/supplier/1045368
מועדון לב הים,חוויות|לגוף ולנפש,חוויות אקסטרים|אימוני כושר,"ת""א והסביבה|מרכז",no,1,1200,קורס בגלשן עמידה SUP ב-2 מפגשים (390); שיעור התנסות בגלשני רוח (430); שיעור התנסות בשייט מפרשיות (500),https://buyme.co.il/supplier/814023
ספא מנטרה - רעננה,ספא וימי כיף|לגוף ולנפש,ספא וימי כיף,מרכז|השרון והסביבה,no,1,1001,מנטרה פינוק ליחיד (520); מנטרה משולב - זוגי (1100); רקמות עמוק/ספורטאים (350),https://buyme.co.il/supplier/326595
Jet Lag,לגוף ולנפש,ציוד ספורט ואקסטרים,דרום,no,1,1000,,https://buyme.co.il/supplier/1058434
מועדון הגולף קיסריה,חוויות|סדנאות והעשרה|לגוף ולנפש,סדנאות והעשרה|חוויות אקסטרים|אימוני כושר|סדנאות והעשרה,השרון והסביבה|צפון|חיפה והסביבה,no,1,1001,שיעור הכרות זוגי בגולף (405); שיעור הכרות משפחתי בגולף (455),https://buyme.co.il/supplier/798912
ספא בית אורן,ספא וימי כיף|לגוף ולנפש,ספא וימי כיף,צפון|חיפה והסביבה,no,1,1300,מתפנקים בכרמל - חבילה זוגית קלאסית (680); בודהא מאוהב - חבילה רומנטית (880); גליפולי שלי - החבילה המומלצת! (1230),https://buyme.co.il/supplier/274981
אוליברי,מסעדות וקולינריה,מסעדות ומזון מהיר,"ת""א והסביבה|מרכז",no,1,1001,,https://buyme.co.il/supplier/830608
Just Believe Jewelry,אופנה ושופינג,תכשיטים ושעונים,"ת""א והסביבה|מרכז|מימוש אונליין",yes,1,1001,,https://buyme.co.il/supplier/3883220
אלי היבש,חוויות|סדנאות והעשרה|לגוף ולנפש|אופנה ושופינג,גיפט קארד לחוויות משותפות|סדנאות והעשרה|סדנאות וקורסים|סדנאות והעשרה|תכשיטים ושעונים,"ת""א והסביבה|מרכז",no,1,1500,סדנה ליצירת עגילים מכסף + קפה ועוגה (1200); סדנה ליצירת עגילים מזהב + קפה ועוגה (2400); סדנה ליצירת 2 טבעות נישואין מכסף וארוחת שף (4000),https://buyme.co.il/supplier/4128701
ספא SHEVA,ספא וימי כיף|לגוף ולנפש,ספא וימי כיף,"ת""א והסביבה",no,1,1500,עיסוי זוגי (1070); עיסוי יחיד (535),https://buyme.co.il/supplier/17574151
גיל לוין,חוויות|סדנאות והעשרה|לגוף ולנפש|תינוקות וילדים,גיפט קארד לחוויות משותפות|סדנאות והעשרה|העשרה|סדנאות והעשרה|ייעוץ וסדנאות להורים,מרכז|השרון והסביבה,no,1,1351,"חבילת צילום גיל שנה (900); חבילת צילום ניו בורן (1800); חבילת צילום ""בוק"" בת/בר מצווה (2500)",https://buyme.co.il/supplier/1185457
וניה ביסטרו,,,צפון|חיפה והסביבה,no,1,1001,,https://buyme.co.il/supplier/1029795
מסעדת בוצ'רי,מסעדות וקולינריה,מסעדות ומזון מהיר|מסעדות כשרות,הנגב|דרום,no,1,1500,,https://buyme.co.il/supplier/1335049
פלה דה תה,מסעדות וקולינריה|לבית,חנויות קולינריה ואלכוהול|כלי בישול ומטבח,"ת""א והסביבה|ירושלים והסביבה|חיפה והסביבה|מרכז|צפון|דרום|מימוש אונליין",yes,1,1001,הקולקציה המיניאטורית (138); מארז שקיות תה ירוק- GREEN TEAS GOURMET BAGS (178); מארז תה בטעמים (198),https://buyme.co.il/supplier/310039
מסעדת הצדף,מסעדות וקולינריה,מסעדות שף,"מרכז|מודיעין, השפלה והסביבה",no,1,1001,ארוחה לשניים (420); ארוחה זוגית מפנקת (570),https://buyme.co.il/supplier/848723
איטלקיה בפשפשים,מסעדות וקולינריה,מסעדות ומזון מהיר,"מרכז|ת""א והסביבה",no,1,1001,ארוחה זוגית (330); ארוחה זוגית מפנקת (440); ארוחה זוגית משודרגת (540),https://buyme.co.il/supplier/1146500
מחסן גיטרות,חוויות|סדנאות והעשרה|לגוף ולנפש|תרבות ופנאי,סדנאות והעשרה|העשרה|סדנאות והעשרה,"מרכז|ת""א והסביבה",no,1,1001,גיטרה אקוסטית (430); גיטרה אקוסטית מוגברת (600); גיטרה חשמלית (950),https://buyme.co.il/supplier/908462
מסעדת מינאטו,מסעדות וקולינריה,מסעדות שף|מסעדות ומזון מהיר|מסעדות כשרות,מרכז|השרון והסביבה,no,1,1001,,https://buyme.co.il/supplier/19254
פוקצ'ה בר,מסעדות וקולינריה,מסעדות ומזון מהיר,ירושלים והסביבה,no,1,1001,,https://buyme.co.il/supplier/380331
דייויס ואודי,טיפוח ויופי,,"ת""א והסביבה|מרכז",no,1,1500,"תספורת ופן ע""י מתמחה (100); גוונים ראש מלא ע""י מתמחה (250)",https://buyme.co.il/supplier/363495
סטודיו מיכל,לגוף ולנפש,אימוני כושר,"ת""א והסביבה",no,1,1001,כרטיסיה משולבת- 8 שיעורי פילאטיס (600); שיעור פילאטיס פרטי (300),https://buyme.co.il/supplier/344365
Noor Glamping,מלונות ונופש,"וילות, צימרים ואירוח",הנגב|דרום,no,1,1500,,https://buyme.co.il/supplier/17574131
מסעדת מונא,מסעדות וקולינריה,מסעדות שף,ירושלים והסביבה,no,1,1001,,https://buyme.co.il/supplier/1084055
סיגל זיו,סדנאות והעשרה|לגוף ולנפש,סדנאות וקורסים|אימוני כושר|סדנאות והעשרה,"ת""א והסביבה|מרכז|השרון והסביבה",no,1,1001,קלפי מחול ואהבה בתנועה לנשים (200); שני שיעורים ליחיד (200); שיעור ליחיד (100),https://buyme.co.il/supplier/798510
Dance Tel Aviv,,,"ת""א והסביבה|מרכז",no,1,1500,שיעור ספיישל צהריים (200); חבילת 5 שיעורים פרטיים (1600); שיעור פרטי בודד של שעה (330),https://buyme.co.il/supplier/4131090
ביצ'יקלטה,מסעדות וקולינריה,מסעדות ומזון מהיר,"מרכז|ת""א והסביבה",no,1,1001,,https://buyme.co.il/supplier/985322
BalleriMa,לגוף ולנפש|תינוקות וילדים,אימוני כושר,השרון והסביבה,no,1,1500,BalleriMa- ריקוד עם מנשאים (70); BalleriMa- תנועה בהריון (70); BalleriMa- אמהות רוקדות (70),https://buyme.co.il/supplier/5399676
Jah Spa אילת,ספא וימי כיף|לגוף ולנפש,ספא וימי כיף,דרום|אילת והערבה,no,1,1200,עיסוי פיוז'ן ליחיד (475); עיסוי פיוז'ן וארוחת בוקר ליחיד (625); עיסוי פיוז'ן לזוג (950),https://buyme.co.il/supplier/9989295
BABY MIT MIT,תינוקות וילדים,צעצועים|טקסטיל ועיצוב חדרי ילדים,"ת""א והסביבה|מרכז|צפון|דרום|ירושלים והסביבה|חיפה והסביבה|השרון והסביבה|אילת והערבה|סניפים בפריסה ארצית",no,1,1001,קופסת הפתעות חורפית מפנקת לתינוק (299); קופסת הפתעות חורפית לתינוק (319); קופסת הפתעות לרחצה (449),https://buyme.co.il/supplier/4245156
BARCOM,לבית,חשמל ואלקטרוניקה,"מרכז|מודיעין, השפלה והסביבה|דרום",no,1,1500,,https://buyme.co.il/supplier/2324022
Beer Garden,מחבקים מילואימניקים|מסעדות וקולינריה,מסעדות ומזון מהיר|חנויות קולינריה ואלכוהול,"ת""א והסביבה|מרכז",no,1,1001,נשנוש לשניים (95); מגש טעימות מפנק (146); חבילת חברים (285),https://buyme.co.il/supplier/1575196
BRETONNE,מסעדות וקולינריה,מסעדות ומזון מהיר,"ת""א והסביבה",no,1,800,דייט קומפלט (130); טעם תל אביב (150); ארוחה זוגית (100),https://buyme.co.il/supplier/6302531
Carter's/Oshkosh,תינוקות וילדים|אופנה ושופינג,בגדי ילדים ותינוקות|בגדי ילדים ותינוקות,מרכז|צפון|מימוש אונליין,yes,,,,https://buyme.co.il/supplier/7332274
CLINIQUE,טיפוח ויופי,,,no,,,,https://buyme.co.il/supplier/8180749
DeVine,מסעדות וקולינריה,חנויות קולינריה ואלכוהול,"ת""א והסביבה|מרכז|צפון|ירושלים והסביבה|השרון והסביבה|סניפים בפריסה ארצית",no,1,1500,מארז DeVine זוגי עד הבית (199); מארז 5 יינות בוטיק ישראלים כשרים עד הבית (479); מארז 3 יינות בוטיק עד הבית (272),https://buyme.co.il/supplier/3197919
אקסקלוסיב ריקודים,,,"ת""א והסביבה|מרכז|צפון|חיפה והסביבה|השרון והסביבה",no,1,1350,שיעור פרטי ליחיד או לזוג (165); שיעור פרטי ליחיד או לזוג (300); שיעור פרטי ליחיד או לזוג-חבילת HOLLYWOOD (900),https://buyme.co.il/supplier/4855424
Gatsby,מסעדות וקולינריה,,ירושלים והסביבה,no,1,1000,,https://buyme.co.il/supplier/6782959
Instablock,לבית,טקסטיל ועיצוב הבית,מימוש אונליין,yes,1,1500,,https://buyme.co.il/supplier/7908813
Jusa Cold Pressed,מסעדות וקולינריה,חנויות קולינריה ואלכוהול,"ת""א והסביבה|מימוש אונליין",yes,1,1500,Immunity Package- כולל משלוח (130); Mommy’s Package - כולל משלוח (215); מארז בוסטים - כולל משלוח (120),https://buyme.co.il/supplier/7330666
lost,,,צפון|חיפה והסביבה,no,1,1001,כניסה ל-2 משתתפים (750); כניסה ל-3 משתתפים (770); כניסה ל-4 משתתפים (770),https://buyme.co.il/supplier/4827524
MOKAYA,מסעדות וקולינריה|חוויות|סדנאות והעשרה|לגוף ולנפש,"קונדיטוריות, קינוחים ומתוקים|גיפט קארד לחוויות משותפות|סדנאות והעשרה|סדנאות וקורסים|סדנאות והעשרה","ת""א והסביבה|מרכז",no,1,1500,ביצת שוקולד ענקית (350),https://buyme.co.il/supplier/6300784
MOLET,חוויות|סדנאות והעשרה|לגוף ולנפש,סדנאות והעשרה|העשרה|סדנאות וקורסים|סדנאות והעשרה,"ת""א והסביבה|מרכז",no,1,1500,סדנת החמש שעות של MOLET לזוג משתתפים (764); סדנת החמש שעות של MOLET ליחיד/ה (598); סדנת השלוש שעות של MOLET לזוג משתתפים (509),https://buyme.co.il/supplier/1583311
My Winery,מסעדות וקולינריה,חנויות קולינריה ואלכוהול,מרכז|השרון והסביבה,no,1,1500,חבית יין 3 ליטר ממותגת (כשר) (626); מארז בר יין 3 ליטר מעוצב (398); 4 חביות יין מעוצבות בגדלים שונים (3370),https://buyme.co.il/supplier/8857803
NOLA American Bakery,מסעדות וקולינריה,בתי קפה,"ת""א והסביבה|מרכז",no,1,1001,קפה ועוגיה גדולה (30); קפה זוגי עם מאפי בוקר (64); ארוחת בוקר זוגית נולה (168),https://buyme.co.il/supplier/4217081
Novarun,סדנאות והעשרה|לגוף ולנפש,אימוני כושר|סדנאות והעשרה,"ת""א והסביבה|מרכז",no,1,1500,סדנת ריצה (380); כרטיסיית 3 אימוני כושר אישיים (320); אימון כושר אישי זוגי (210),https://buyme.co.il/supplier/3059377
pecka'le,מסעדות וקולינריה|חוויות|סדנאות והעשרה|לגוף ולנפש,חוויות קולינריות|גיפט קארד לחוויות משותפות|חוויות קולינריות|סדנאות והעשרה|סדנאות וקורסים|סדנאות והעשרה,השרון והסביבה,no,1,1500,מנוי PECKALE ONLINE (449); קורס קונדיטוריה דיגיטלי (1899),https://buyme.co.il/supplier/3005284
PicCell,חוויות|סדנאות והעשרה|לגוף ולנפש,גיפט קארד לחוויות משותפות|סדנאות והעשרה|סדנאות וקורסים|סדנאות והעשרה,"ת""א והסביבה|מרכז|ירושלים והסביבה",no,1,1500,שובר זוגי לסדנת צילום בסמארטפון (500); שובר יחיד לסדנת צילום בסמארטפון (250),https://buyme.co.il/supplier/3198253
QUESTLINE,מחבקים מילואימניקים,,צפון,no,1,1500,כניסה ל-2 משתתפים (400); כניסה ל-3 משתתפים (450); כניסה ל-4 משתתפים (520),https://buyme.co.il/supplier/4737989
Silver Bell,תינוקות וילדים,טקסטיל ועיצוב חדרי ילדים,"ת""א והסביבה|השרון והסביבה|ירושלים והסביבה|חיפה והסביבה|מרכז|צפון|דרום|מימוש אונליין",yes,1,1400,WELCOME BABY LOVE (429); MY FIRST BATH PREMIUM (599); BATH TIME (299),https://buyme.co.il/supplier/7965585
SmartTour,מחבקים מילואימניקים|מסעדות וקולינריה|חוויות|סדנאות והעשרה|לגוף ולנפש,חוויות קולינריות|גיפט קארד לחוויות משותפות|חוויות קולינריות|סדנאות והעשרה|סיורים |סדנאות והעשרה,"ת""א והסביבה|מרכז|ירושלים והסביבה",no,1,1500,סיור איזיריידר קלאסי לזוג (640); סיור קולינרי פרטי לקבוצה בת 8 משתתפים בשוק מחנה יהודה (2080),https://buyme.co.il/supplier/7599689
Sparco,חוויות,חוויות אקסטרים,"ת""א והסביבה|מרכז|השרון והסביבה",no,1,1500,נהג מרוצים אקסטרים ליום אחד- 3 מקצים (1500); נהג מרוצים אקסטרים ליום אחד-4 מקצים (1900); נהגי מרוצים ליום אחד- חוויה זוגית (2600),https://buyme.co.il/supplier/3163395
Surf Club א.ד משוטים,חוויות|לגוף ולנפש,חוויות אקסטרים|אימוני כושר,"ת""א והסביבה",no,1,1500,השכרת גלשן גלים (60); השכרת סאפ (90); השכרת קיאק יחיד (100),https://buyme.co.il/supplier/1585826
Surf Club,חוויות|לגוף ולנפש,חוויות אקסטרים|אימוני כושר,צפון|חיפה והסביבה,no,1,1500,השכרת גלשן גלים (60); השכרת סאפ (100); השתתפות יחיד בשיעור גלישת גלים (180),https://buyme.co.il/supplier/4381705
ToneLine,סדנאות והעשרה|לגוף ולנפש,סדנאות וקורסים|סדנאות והעשרה,סניפים בפריסה ארצית,no,1,1500,אבחון מוזיקלי והיכרות (180); פגישת אבחון ו-2 שיעורים (500); פגישת אבחון ו-4 שיעורים (750),https://buyme.co.il/supplier/3558285
ספא אלמונד,ספא וימי כיף|לגוף ולנפש,ספא וימי כיף,ירושלים והסביבה,no,1,1500,עיסוי יחיד (535); עיסוי זוגי (1070); עיסוי יחיד וארוחת בוקר (685),https://buyme.co.il/supplier/17573853
TOPSEA,חוויות|לגוף ולנפש,חוויות אקסטרים|אימוני כושר,"ת""א והסביבה|מרכז",no,1,1500,שיעור גלישה פרטי (250); חולצת לייקרה (220); קורס גלישת גלים לבוגרים (790),https://buyme.co.il/supplier/1654858
בית הספר - W,מסעדות וקולינריה|חוויות|סדנאות והעשרה|לגוף ולנפש,חוויות קולינריות|חוויות קולינריות|סדנאות והעשרה|סדנאות וקורסים|סדנאות והעשרה,"ת""א והסביבה|מרכז",no,1,1500,קורס יין level 2 של בית הספר הבינלאומי WSET (3400),https://buyme.co.il/supplier/4150153
ZOHARA,אופנה ושופינג,אופנת בוטיק ישראלית|הלבשה תחתונה,"ת""א והסביבה|מרכז",no,1,1500,,https://buyme.co.il/supplier/5984781
Abraham Hostel,מלונות ונופש,"וילות, צימרים ואירוח","ת""א והסביבה|צפון|ירושלים והסביבה",no,1,1500,"לילה בחדר זוגי וארוחת בוקר באמצ""ש (450); לילה זוגי וארוחת בוקר בסופ""ש (550)",https://buyme.co.il/supplier/5244338
agenda,מסעדות וקולינריה,מסעדות ומזון מהיר|מסעדות כשרות,השרון והסביבה|צפון|חיפה והסביבה,no,1,1500,ארוחת בוקר זוגית מפנקת (149),https://buyme.co.il/supplier/8321257
Alltech,,,מרכז|פתח תקווה ובקעת אונו,no,1,1000,גלובוס מואר למתנה מושלמת- כולל משלוח (367); מפת העולם - כולל משלוח (129); משחק הנדסי 5 מודלים כלי שיט ימיים - כולל משלוח (149),https://buyme.co.il/supplier/6944877
Cafe Popular,מסעדות וקולינריה,מסעדות שף,"ת""א והסביבה",no,1,1000,,https://buyme.co.il/supplier/6094111
אטרקציות חוות פיליפ,חוויות,חוויות אקסטרים,"דרום|אשקלון, אשדוד והסביבה",no,1,1500,משחק פיינטבול 6-8 משתתפים (880); טיול חמורים ליחיד (65); טיול חמורים ומטווח פיינטבול (100),https://buyme.co.il/supplier/2199457
AYUCHKA,תינוקות וילדים|אופנה ושופינג,בגדי ילדים ותינוקות|אופנת בוטיק ישראלית|בגדי ילדים ותינוקות,"ת""א והסביבה|מרכז|צפון|דרום|ירושלים והסביבה|חיפה והסביבה|השרון והסביבה|סניפים בפריסה ארצית",no,1,1500,,https://buyme.co.il/supplier/8816135
אליסיום עולם בריא לתינוקות,תינוקות וילדים|טיפוח ויופי,טקסטיל ועיצוב חדרי ילדים,ירושלים והסביבה|סניפים בפריסה ארצית,no,1,1500,MOON BOX עד הבית (299); BABY HAND BOX עד הבית (269); MAGIC BOX עד הבית (389),https://buyme.co.il/supplier/5426164
אריסטו שמט,אופנה ושופינג,אופנת בוטיק ישראלית,"ת""א והסביבה|מרכז|צפון|דרום|סניפים בפריסה ארצית",no,1,1001,,https://buyme.co.il/supplier/2080281
באולינג 7,חוויות,,הנגב|דרום,no,1,1500,משחק באולינג זוגי (60); משחק באולינג משפחתי (132),https://buyme.co.il/supplier/8160517
באלגן,,,צפון|חיפה והסביבה,no,1,1500,כניסה יחיד לילד (105); כניסה יחיד למבוגר (48); כניסה להורה וילד (153),https://buyme.co.il/supplier/7564451
FIORI,חוויות|סדנאות והעשרה|לגוף ולנפש|לבית,סדנאות והעשרה|סדנאות והעשרה|פרחים וצמחיה,"ת""א והסביבה",no,1,1001,fiori masterclass (2000),https://buyme.co.il/supplier/3657192
בטבע של בני - בצל התאנה,מסעדות וקולינריה,חנויות קולינריה ואלכוהול,צפון|חיפה והסביבה,no,1,1500,ארוחה טבעונית מפנקת ליחיד (120),https://buyme.co.il/supplier/8855998
בירה אלכסנדר,מסעדות וקולינריה|חוויות|סדנאות והעשרה|לגוף ולנפש,יקבים ומבשלות|גיפט קארד לחוויות משותפות|יקבים ומבשלות|סדנאות והעשרה|סיורים |סדנאות והעשרה,מרכז|השרון והסביבה,no,1,1001,סיור זוגי ומארז שמיניית בירות (252); ארגז בירה עד הבית (289); סיור זוגי ופלטת גבינות זוגית (242),https://buyme.co.il/supplier/2571475
דריה ספא נתניה,ספא וימי כיף|לגוף ולנפש,ספא וימי כיף,השרון והסביבה,no,1,1500,עיסוי יחיד (475); עיסוי וארוחת בוקר ליחיד (575); עיסוי זוגי (950),https://buyme.co.il/supplier/17573890
כפיר בולטין,סדנאות והעשרה|לגוף ולנפש,העשרה|סדנאות וקורסים|סדנאות והעשרה,"ת""א והסביבה|מרכז|צפון|דרום|ירושלים והסביבה|חיפה והסביבה|השרון והסביבה|אילת והערבה|סניפים בפריסה ארצית",no,1,1500,המדריך המעשי- חוברת PDF דיגיטלית (149); קורס אינטרנטי צילום בסמארטפון עם שיעור פרטי (347); תוכנית Expose: מסלול משולב צילום ועריכה בלייטרום כולל ליווי (3795),https://buyme.co.il/supplier/6966954
בית השנטי,סדנאות והעשרה|לבית,העשרה,"ת""א והסביבה|מרכז|צפון|דרום|ירושלים והסביבה|חיפה והסביבה|השרון והסביבה",no,1,1500,ספר מתכונים (95); ספר מתכוני קינוחים (95); הגדה מרגשת לפסח (40),https://buyme.co.il/supplier/7711834
"בית חנה - לזוז, להקשיב, להיפגש",לגוף ולנפש,אימוני כושר,"ת""א והסביבה",no,1,1001,חודש במסלול האימהות בבית חנה בן גוריון (800); סדנת קרמיקה זוגית בחדר המלאכה (740),https://buyme.co.il/supplier/3740358
בית קנדינוף,מחבקים מילואימניקים|מסעדות וקולינריה,מסעדות שף,"ת""א והסביבה",no,1,1000,,https://buyme.co.il/supplier/6896203
La maison du savon,,,"ת""א והסביבה|מימוש אונליין",yes,1,1500,פינוק לדרך (109); פינוק לבית (349); פינוק פלוס (329),https://buyme.co.il/supplier/2318450
ביתא קפה,מסעדות וקולינריה,בתי קפה,"מרכז|ת""א והסביבה",no,1,1000,,https://buyme.co.il/supplier/27306
ג'קו סטריט,מסעדות וקולינריה,מסעדות שף|מסעדות כשרות,ירושלים והסביבה,no,1,1001,,https://buyme.co.il/supplier/368140
גליליס - מוצרי בוטיק,מסעדות וקולינריה,חנויות קולינריה ואלכוהול,מרכז|סניפים בפריסה ארצית|פתח תקווה ובקעת אונו,no,1,1001,שלישיית ממרחים מהודרת כולל משלוח (110); חגיגה גלילית כולל משלוח (125); מטבח גלילי כולל משלוח (240),https://buyme.co.il/supplier/2456070
דנה אשכנזי,אופנה ושופינג,אופנת בוטיק ישראלית,"ת""א והסביבה|חיפה והסביבה|מרכז|צפון|מימוש אונליין",yes,1,1500,,https://buyme.co.il/supplier/4916360
דנית השכרת יאכטות,חוויות,חוויות אקסטרים,"ת""א והסביבה|מרכז|השרון והסביבה",no,1,1000,,https://buyme.co.il/supplier/16352
האתר הסודי לשמלות מסתובבות,תינוקות וילדים|אופנה ושופינג,בגדי ילדים ותינוקות|בגדי ילדים ותינוקות,"ת""א והסביבה|ירושלים והסביבה|מרכז|צפון|דרום|מימוש אונליין",yes,1,1500,,https://buyme.co.il/supplier/7393953
הולה,לבית,,"ת""א והסביבה|מרכז|דרום|ירושלים והסביבה",no,1,1500,חבילה ממותגת + משלוח עד הבית (120); החבילה המושלמת להרמת המסיבה+ משלוח (234); חבילת זוהרים לאירוע קטן (149),https://buyme.co.il/supplier/5767696
החנות הורודה,אופנה ושופינג,אופנת בוטיק ישראלית,"ת""א והסביבה|מרכז",no,1,1500,,https://buyme.co.il/supplier/5773458
המלביה,מסעדות וקולינריה,"קונדיטוריות, קינוחים ומתוקים","ת""א והסביבה",no,1,1500,5 יחידות מלבי (65); 10 יחידות מלבי (130); ארוחת מלבי מהסרטים ליחיד (58),https://buyme.co.il/supplier/5636708
הממלכה,תרבות ופנאי|תינוקות וילדים,,השרון והסביבה,no,1,1500,,https://buyme.co.il/supplier/4383025
